id,from,to,type,numLanes,speed,priority,spreadType,width,name,endOffset,sidewalkWidth,length,emergency,authority,passenger,hov,taxi,bus,delivery,truck,trailer,motorcyle,moped
-138656519#0,2199385128,99480515,highway.tertiary,1,22.22,6,,,Summerlin Avenue,,,7.080,1,1,1,1,1,1,1,1,1,1,1
-138656519#1,cluster_989976969_99480514,2199385128,highway.tertiary,1,22.22,6,,,Summerlin Avenue,,,76.104,1,1,1,1,1,1,1,1,1,1,1
-138656519#3,1411748994,cluster_989976969_99480514,highway.tertiary,1,22.22,6,,,Summerlin Avenue,,,46.011,1,1,1,1,1,1,1,1,1,1,1
-140210324#0,5310329187,99475173,highway.primary,2,22.35,9,,,East Colonial Drive,,,9.150,1,1,1,1,1,1,1,1,1,1,1
-140210324#1,5369264662,5310329187,highway.primary,2,22.35,9,,,East Colonial Drive,,,105.233,1,1,1,1,1,1,1,1,1,1,1
-140210324#2,5369264672,5369264662,highway.primary,2,22.35,9,,,East Colonial Drive,,,68.742,1,1,1,1,1,1,1,1,1,1,1
-140210324#3,5369264666,5369264672,highway.primary,2,22.35,9,,,East Colonial Drive,,,21.021,1,1,1,1,1,1,1,1,1,1,1
-140210324#4,5310329175,5369264666,highway.primary,2,22.35,9,,,East Colonial Drive,,,12.090,1,1,1,1,1,1,1,1,1,1,1
-140210324#5,cluster_2191985741_99545650,5310329175,highway.primary,2,22.35,9,,,East Colonial Drive,,,11.060,1,1,1,1,1,1,1,1,1,1,1
-148640484#0,2198940530,599933698,highway.tertiary,2,22.22,6,,,Amelia Street,,,6.130,1,1,1,1,1,1,1,1,1,1,1
-148640484#1,599933695,2198940530,highway.tertiary,2,22.22,6,,,Amelia Street,,,28.261,1,1,1,1,1,1,1,1,1,1,1
-148640702#0,2198940103,99635880,highway.tertiary,2,22.22,6,,,Westmoreland Drive,,,94.070,1,1,1,1,1,1,1,1,1,1,1
-148640702#1,99579525,2198940103,highway.tertiary,2,22.22,6,,,Westmoreland Drive,,,10.480,1,1,1,1,1,1,1,1,1,1,1
-148640702#2,2198940088,99579525,highway.tertiary,2,22.22,6,,,Westmoreland Drive,,,8.830,1,1,1,1,1,1,1,1,1,1,1
-148640702#3,99602377,2198940088,highway.tertiary,2,22.22,6,,,Westmoreland Drive,,,55.271,1,1,1,1,1,1,1,1,1,1,1
-148640702#4,814287746,99602377,highway.tertiary,2,22.22,6,,,Westmoreland Drive,,,65.269,1,1,1,1,1,1,1,1,1,1,1
-148640702#5,2198940033,814287746,highway.tertiary,2,22.22,6,,,Westmoreland Drive,,,61.511,1,1,1,1,1,1,1,1,1,1,1
-148640702#6,99581816,2198940033,highway.tertiary,2,22.22,6,,,Westmoreland Drive,,,6.890,1,1,1,1,1,1,1,1,1,1,1
-149984564#0,913883425,1629213911,highway.residential,1,13.89,4,,,,,,18.350,1,1,1,1,1,1,1,1,1,1,1
-149984564#1,1629213913,913883425,highway.residential,1,13.89,4,,,,,,20.490,1,1,1,1,1,1,1,1,1,1,1
-150283313#0,1632049691,1632049683,highway.residential,1,13.89,4,,,Country Club Oaks Circle,,,308.441,1,1,1,1,1,1,1,1,1,1,1
-150283313#1,1632049683,1632049691,highway.residential,1,13.89,4,,,Country Club Oaks Circle,,,18.208,1,1,1,1,1,1,1,1,1,1,1
-151021365,99484141,1638697434,highway.residential,1,13.89,4,,,Ramona Lane,,,80.592,1,1,1,1,1,1,1,1,1,1,1
-151021366,2207811410,1638697437,highway.residential,1,13.89,4,,,Rio Grande Avenue,,,33.537,1,1,1,1,1,1,1,1,1,1,1
-151021368#0,99595482,99595481,highway.residential,1,13.89,4,,,Valencia Avenue,,,35.880,1,1,1,1,1,1,1,1,1,1,1
-151021368#1,99595483,99595482,highway.residential,1,13.89,4,,,Valencia Avenue,,,98.756,1,1,1,1,1,1,1,1,1,1,1
-151021368#2,99546836,99595483,highway.residential,1,13.89,4,,,Valencia Avenue,,,160.869,1,1,1,1,1,1,1,1,1,1,1
-151178396,813839560,99581805,highway.residential,1,13.89,4,,,Pharr Avenue,,,90.331,1,1,1,1,1,1,1,1,1,1,1
-151885357,99521981,cluster_920564650_920564731,highway.residential,1,13.89,4,,,17th Street,,,200.678,1,1,1,1,1,1,1,1,1,1,1
-155443968,904625282,2191923841,highway.residential,1,13.89,4,,,Greenwood Street,,,275.411,1,1,1,1,1,1,1,1,1,1,1
-155926537#0,99612664,99632341,highway.residential,1,13.89,4,,,Bahama Drive,,,51.962,1,1,1,1,1,1,1,1,1,1,1
-155926537#1,2191923830,99612664,highway.residential,1,13.89,4,,,Bahama Drive,,,47.581,1,1,1,1,1,1,1,1,1,1,1
-155926542,99632341,99549403,highway.residential,1,13.89,4,,,Lake Weldona Drive,,,53.930,1,1,1,1,1,1,1,1,1,1,1
-155955193,99507311,99632343,highway.residential,1,13.89,4,,,Briercliff Drive,,,301.076,1,1,1,1,1,1,1,1,1,1,1
-155955194,99523551,99647026,highway.residential,1,13.89,4,,,Cherokee Circle,,,158.110,1,1,1,1,1,1,1,1,1,1,1
-155955199#0,99477479,99490139,highway.tertiary,1,22.22,6,,,Delaney Avenue,,,59.282,1,1,1,1,1,1,1,1,1,1,1
-155955199#1,99490713,99477479,highway.tertiary,1,22.22,6,,,Delaney Avenue,,,40.629,1,1,1,1,1,1,1,1,1,1,1
-155955202#1,2184672943,cluster_99489708_99489720,highway.residential,1,13.89,4,,,Delaney Park Drive,,,16.142,1,1,1,1,1,1,1,1,1,1,1
-155955205,99535393,99516247,highway.tertiary,1,22.22,6,,,Fern Creek Avenue,,,49.751,1,1,1,1,1,1,1,1,1,1,1
-155955206,1411916015,cluster_99620562_99620564,highway.tertiary,1,22.22,6,,,Fern Creek Avenue,,,37.536,1,1,1,1,1,1,1,1,1,1,1
-155955220#0,2198939880,cluster_99480527_99550198,highway.tertiary,1,22.22,6,,,Kaley Street,,,10.080,1,1,1,1,1,1,1,1,1,1,1
-155955220#1,5828469451,2198939880,highway.tertiary,1,22.22,6,,,Kaley Street,,,207.326,1,1,1,1,1,1,1,1,1,1,1
-155955220#2,5828469464,5828469451,highway.tertiary,1,22.22,6,,,Kaley Street,,,12.510,1,1,1,1,1,1,1,1,1,1,1
-155955220#3,2198939882,5828469464,highway.tertiary,1,22.22,6,,,Kaley Street,,,152.165,1,1,1,1,1,1,1,1,1,1,1
-155955220#4,99601692,2198939882,highway.tertiary,1,22.22,6,,,Kaley Street,,,9.780,1,1,1,1,1,1,1,1,1,1,1
-155955225,99467170,99467168,highway.residential,1,13.89,4,,,Lake Avenue,,,126.261,1,1,1,1,1,1,1,1,1,1,1
-155955227,99586372,99586370,highway.residential,1,13.89,4,,,Palmer Street,,,75.623,1,1,1,1,1,1,1,1,1,1,1
-155955230,99515882,99586372,highway.residential,1,13.89,4,,,Palmer Street,,,25.180,1,1,1,1,1,1,1,1,1,1,1
-155955236,99471311,cluster_552611189_99471040,highway.tertiary,1,22.22,6,,,Summerlin Avenue,,,74.047,1,1,1,1,1,1,1,1,1,1,1
-155955237,99480509,99480506,highway.tertiary,1,22.22,6,,,Summerlin Avenue,,,33.429,1,1,1,1,1,1,1,1,1,1,1
-155955242,99515894,99480504,highway.residential,1,13.89,4,,,Woodlawn Boulevard,,,80.882,1,1,1,1,1,1,1,1,1,1,1
-156192175,2202801442,99592224,highway.residential,1,13.89,4,,,Lee Avenue,,,17.270,1,1,1,1,1,1,1,1,1,1,1
-156192186,99592224,99480331,highway.residential,1,13.89,4,,,Miller Street,,,204.015,1,1,1,1,1,1,1,1,1,1,1
-156192263#0,99521983,cluster_920564652_920564730,highway.residential,1,13.89,4,,,18th Street,,,199.537,1,1,1,1,1,1,1,1,1,1,1
-156192263#1,99469007,99521983,highway.residential,1,13.89,4,,,18th Street,,,197.120,1,1,1,1,1,1,1,1,1,1,1
-156192265#0,99592226,99480335,highway.residential,1,13.89,4,,,19th Street,,,204.446,1,1,1,1,1,1,1,1,1,1,1
-156192265#1,99637189,99592226,highway.residential,1,13.89,4,,,19th Street,,,201.576,1,1,1,1,1,1,1,1,1,1,1
-156192269#0,99592228,99480337,highway.residential,1,13.89,4,,,20th Street,,,203.274,1,1,1,1,1,1,1,1,1,1,1
-156192269#1,99620526,99592228,highway.residential,1,13.89,4,,,20th Street,,,201.435,1,1,1,1,1,1,1,1,1,1,1
-156321713,876736848,876736847,highway.residential,1,13.89,4,,,Grand Street,,,20.934,1,1,1,1,1,1,1,1,1,1,1
-156321747#0,99543776,555678019,highway.residential,1,13.89,4,,,Indiana Street,,,83.864,1,1,1,1,1,1,1,1,1,1,1
-156321747#1,99472121,99543776,highway.residential,1,13.89,4,,,Indiana Street,,,79.293,1,1,1,1,1,1,1,1,1,1,1
-156357752,2184672941,cluster_989976947_99576000,highway.residential,1,13.89,4,,,Hardman Drive,,,208.929,1,1,1,1,1,1,1,1,1,1,1
-156456204#0,2199385115,99629755,highway.tertiary,1,22.22,6,,,Briercliff Drive,,,93.908,1,1,1,1,1,1,1,1,1,1,1
-156456204#1,99480515,2199385115,highway.tertiary,1,22.22,6,,,Briercliff Drive,,,7.062,1,1,1,1,1,1,1,1,1,1,1
-156523405,2259765118,99591455,highway.residential,1,13.89,4,,,Ramona Lane,,,99.442,1,1,1,1,1,1,1,1,1,1,1
-156523406#0,cluster_1696237331_1696237336,99635082,highway.residential,1,13.89,4,,,Rio Grande Avenue,,,209.132,1,1,1,1,1,1,1,1,1,1,1
-156698644#0,2199385119,99480515,highway.tertiary,1,22.22,6,,,Briercliff Drive,,,7.874,1,1,1,1,1,1,1,1,1,1,1
-156698644#1,99601790,2199385119,highway.tertiary,1,22.22,6,,,Briercliff Drive,,,50.099,1,1,1,1,1,1,1,1,1,1,1
-156698644#2,cluster_989976947_99576000,99601790,highway.tertiary,1,22.22,6,,,Briercliff Drive,,,100.757,1,1,1,1,1,1,1,1,1,1,1
-156698644#4,99604009,cluster_989976947_99576000,highway.tertiary,1,22.22,6,,,Briercliff Drive,,,98.031,1,1,1,1,1,1,1,1,1,1,1
-156698644#5,2199385131,99604009,highway.tertiary,1,22.22,6,,,Briercliff Drive,,,132.967,1,1,1,1,1,1,1,1,1,1,1
-156698644#6,99601719,2199385131,highway.tertiary,1,22.22,6,,,Briercliff Drive,,,11.363,1,1,1,1,1,1,1,1,1,1,1
-156698644#7,2199385124,99601719,highway.tertiary,1,22.22,6,,,Briercliff Drive,,,9.972,1,1,1,1,1,1,1,1,1,1,1
-156698644#8,2232377847,2199385124,highway.tertiary,1,22.22,6,,,Briercliff Drive,,,140.883,1,1,1,1,1,1,1,1,1,1,1
-156772057#0,2199385402,99497791,highway.residential,1,13.89,4,,,Amelia Street,,,8.770,1,1,1,1,1,1,1,1,1,1,1
-156772091#0,2192220226,cluster_2192220225_815851794_99488102,highway.secondary,2,15.65,7,,,Robinson Street,,,12.030,1,1,1,1,1,1,1,1,1,1,1
-156772091#1,5954289239,2192220226,highway.secondary,2,15.65,7,,,Robinson Street,,,35.865,1,1,1,1,1,1,1,1,1,1,1
-156772091#2,99489015,5954289239,highway.secondary,2,15.65,7,,,Robinson Street,,,63.017,1,1,1,1,1,1,1,1,1,1,1
-156772091#3,99589700,99489015,highway.secondary,2,15.65,7,,,Robinson Street,,,94.509,1,1,1,1,1,1,1,1,1,1,1
-156772091#4,2195233220,99589700,highway.secondary,2,15.65,7,,,Robinson Street,,,194.495,1,1,1,1,1,1,1,1,1,1,1
-156772091#5,99577631,2195233220,highway.secondary,2,15.65,7,,,Robinson Street,,,7.580,1,1,1,1,1,1,1,1,1,1,1
-156772091#6,2195233221,99577631,highway.secondary,2,15.65,7,,,Robinson Street,,,8.741,1,1,1,1,1,1,1,1,1,1,1
-156772091#7,99589701,2195233221,highway.secondary,2,15.65,7,,,Robinson Street,,,43.087,1,1,1,1,1,1,1,1,1,1,1
-156805683,2202801551,99577792,highway.residential,1,13.89,4,,,Conroy Street,,,15.200,1,1,1,1,1,1,1,1,1,1,1
-156805698,99480327,99548818,highway.residential,1,13.89,4,,,Indiana Street,,,205.053,1,1,1,1,1,1,1,1,1,1,1
-156805704,99480327,99480325,highway.tertiary,1,22.22,6,,,Parramore Avenue,,,102.365,1,1,1,1,1,1,1,1,1,1,1
-156805705,2207811399,99619141,highway.residential,1,13.89,4,,,Rio Grande Avenue,,,46.296,1,1,1,1,1,1,1,1,1,1,1
-157303003#0,99562346,99480323,highway.residential,1,13.89,4,,,Columbia Street,,,199.574,1,1,1,1,1,1,1,1,1,1,1
-157303003#1,99562352,99562346,highway.residential,1,13.89,4,,,Columbia Street,,,204.160,1,1,1,1,1,1,1,1,1,1,1
-157303005,1700922807,99592223,highway.residential,1,13.89,4,,,Grand Street,,,159.901,1,1,1,1,1,1,1,1,1,1,1
-157303007#0,99562346,99592223,highway.residential,1,13.89,4,,,Lee Avenue,,,103.532,1,1,1,1,1,1,1,1,1,1,1
-157303007#1,2259765090,99562346,highway.residential,1,13.89,4,,,Lee Avenue,,,57.181,1,1,1,1,1,1,1,1,1,1,1
-157391024,99544864,1644945719,highway.residential,1,13.89,4,,,Desoto Circle,,,33.443,1,1,1,1,1,1,1,1,1,1,1
-157391027,1644945719,1696128094,highway.residential,1,13.89,4,,,Desoto Circle,,,54.581,1,1,1,1,1,1,1,1,1,1,1
-157391058,1699607162,99564528,highway.secondary,1,27.78,7,,,Lakeview Street,,,54.025,1,1,1,1,1,1,1,1,1,1,1
-157391087,1696128090,1696128091,highway.residential,1,13.89,4,,,Oregon Street,,,15.410,1,1,1,1,1,1,1,1,1,1,1
-157391090#0,2199385426,1696128090,highway.residential,1,13.89,4,,,Oregon Street,,,45.050,1,1,1,1,1,1,1,1,1,1,1
-157391090#1,99536690,2199385426,highway.residential,1,13.89,4,,,Oregon Street,,,7.400,1,1,1,1,1,1,1,1,1,1,1
-157391095#0,1696128092,99536681,highway.residential,1,13.89,4,,,Oregon Street,,,54.125,1,1,1,1,1,1,1,1,1,1,1
-157391095#1,99536683,1696128092,highway.residential,1,13.89,4,,,Oregon Street,,,46.815,1,1,1,1,1,1,1,1,1,1,1
